UserID,Overall
k17u1vvlstw5jn667k,1
k17v62gw3fvq25otp4,1
k17u1zsipsnxrurjhb,1
k17vpyqoqeg6xnrtt6,1
k17vqba0a8ompwya2l,1
k17u2uwrj3qhno8m8n,1
k17z1zdnkqfq5xme36,1
k17ut0qf541s9tqdya,1
k17yp95ggv7xf9sg46,1
k17u3ry7e1xp9rrpwg,1
k17x8ecjlhy76csyv,0
k17wijwc1n5djfy3ni,1
k17u4tigm55kwimcnu,0
k17u1kshmez68butl4,1
k17uytp172xei8gjob,1
k17xg3u8nu9h481img,0
k17ujzwbal1nle8lv4,0
k17vq45rh5alce928,0
k17u60aziu0hxu8194,1
k17vctne1weetyqim,1
k17u4ftfasufh9xubu,1
k17v4klngjo3rf7r34,1
k17vr7e2qlo8fbmti,0
k17utdv171iv5e2yl,1
k17w3klhbf9u4ze4qg,0
k17u1v5jlqo6w0whb8,1
k17ulzfyqbw1e04xir,0
k17w3b8r45652hn6th,1
k17ytvqj6qzjubots,0
k17u22gqbwakegtou2,1
k191ca26lyx7zv1nno,1
k1917o2eal8tp3xgmn,1
k191bl8blqb6os4k24,1
k1935cblhtgv6zutnn,0
k191fl06w9hy6ib5d3i,0
k195m47ypnwv25e9k,0
k1936y2v6wmc5n1sf,1
k1923857e4hcxhq7e,1
k190zm29bsbomml73o,0
k193425pr7gfnkb6df,1
k1936t6yve4m7ntkk8,0
k1925s6ha62guzqi38,0
k195dhr46h7wuanzki,0
k192g1j157kqmqmz6p,1
k1910jd43qczc0pmgt,0
k19272fjbtau8zf9wl,1
k19sc48e38z7x11na,0
k195mh6cgctiu583hr,0
k1910dpr1ufx3r5mm,1
k1922w7tajdb6znt59,0
k1944q5hrnq0n84bx,0
k1936d6baij6wwfbtc,0
k193l8nz973vauafb,1
k193bf3jefwlvj8hxp,0
k198291cmm3h60i6up,1
k190yj88x73odwlalf,1
k1915egvougd7rxm6,0
k19220p19dc8aabqs,0
k193kbzt1zfx19e8sk,1
k1934rnqoldv0pwphc,0
k1anavz0hejoam62db,0
k1914iwhuiyn3xq44o,0
k194aezw2nzy0b2zrg,1
k193n0de07ey1p8clv9s,0
k190ygtu0fqmsgaqfn,1
k191j9duccyprhnigi,1
k194ivrvgpz3b6vdb,0
k191cyebl3j1kvicoa,0
k1919par5icm18avgr,1
k1923zcax9ogdq6ib4,0
k191s3mfllsaq8binl,1
k19109q5fzj4js0iva,0
k190yf5muz895w7szm,1
k192ldoye99ew3bjp,1
k1911vbvqtxyp01en,0
k191000qygjynpgar5,0
k191r2pcdiylaz0wti,1
k190yb5z9dnlmnordo,1
k192p3zh9cw5pa10bo,0
k193l9uhwob8akjd6o,0
k1922ysesgcmxeoosa,0
k19339z5c2f8mwxohd,0
k192o6y5o1ltkawnf,0
k190z59lf2x54j08p4,1
k190ynn4mrybnwlws,0
k1936b5jfzwhthucis,1
k193grkb5rs12qu2ps,0
k1924cdbinjvlc401r,0
k191mqyu1ghkltnxkh,0
k192f0vkdkhki6i6e6,0
k1910tt4is7n7vs1tg,0
k193rxm8u8405jm0ae,1
k19279arxbfohp7grj,0
k193xb4mom4gx3ucko,1
k1922hbg3u1h77cuao,0
k192nboouo3ye0ctr8,1
k190yv8q3fedj5ei2m,1
k1921du2x9gabaoie,1
k191smo7q0c5l6ts5,1
k1910zy8dufbgwm0it,1
k191zs3hxaxyv56t0i,1
k1913w665ge2aqk17ub,1
k190ypxspbvzbx083y,1
k191xy64qdwenu6c4e,0
k1932w6v83kx838nt,0
